date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-03-15,2021,Ethiopia: HAC - thematic humanitarian support (SM1899100938),1223890,"Denmark, Government of",Government,DNK,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,United Nations Children's Fund,UN agency,,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-15,2021-03-15,,7500000,DKK,6.128,228942,SM1899100938,2021-04-14,2021-04-14
2021-03-15,2021,Yemen: HAC - Thematic humanitarian support,1223890,"Denmark, Government of",Government,DNK,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,United Nations Children's Fund,UN agency,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-15,2021-03-15,,7500000,DKK,6.128,228943,SM1899100939,2021-05-27,2021-05-27
2021-03-15,2021,Annual Programme 2021,2007387,"Denmark, Government of",Government,DNK,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,United Nations Children's Fund,UN agency,,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,12500000,DKK,6.227,228944,,2021-03-16,2021-03-16
2021-03-15,2021,Myanmar: HAC - thematic humanitarian support (SM1899100941),734334,"Denmark, Government of",Government,DNK,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,United Nations Children's Fund,UN agency,,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-15,2021-03-15,,4500000,DKK,6.128,228945,SM1899100941,2021-04-21,2021-04-21
2021-03-15,2021,Winterization Emergency,652742,"Denmark, Government of",Government,DNK,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,United Nations Children's Fund,UN agency,Emergency Shelter and NFI,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-15,2021-03-15,,4000000,DKK,6.128,228946,SM1899100942,2021-06-08,2021-06-08
2021-03-15,2021,"Annual Programme 2021, Global Support",642364,"Denmark, Government of",Government,DNK,2021,2021,,,,United Nations Children's Fund,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,4000000,DKK,6.227,228947,,2021-03-16,2021-03-16
2021-03-15,2021,"Annual Programme 2021, Transformative funding",3211819,"Denmark, Government of",Government,DNK,2021,2021,,,,United Nations Children's Fund,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,20000000,DKK,6.227,228948,,2021-03-16,2021-03-16
2021-03-15,2021,FRA protrated situations,2087683,"Denmark, Government of",Government,DNK,2021,2021,Sudan Humanitarian Response Plan 2021,HSDN21,1014,United Nations High Commissioner for Refugees,UN agency,,SDN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,13000000,DKK,6.227,228949,,2021-03-16,2021-03-16
2021-03-15,2021,FRA protrated situations,3211819,"Denmark, Government of",Government,DNK,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,United Nations High Commissioner for Refugees,UN agency,,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,20000000,DKK,6.227,228950,,2021-03-16,2021-03-16
2021-03-15,2021,FRA protrated situations,10438413,"Denmark, Government of",Government,DNK,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,,UGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,65000000,DKK,6.227,228951,,2021-03-16,2021-03-16
2021-03-15,2021,FRA protrated situations,3211819,"Denmark, Government of",Government,DNK,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,,KEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,20000000,DKK,6.227,228952,,2021-03-16,2021-03-16
2021-03-15,2021,FRA protrated situations,2216155,"Denmark, Government of",Government,DNK,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,,IRN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,13800000,DKK,6.227,228953,,2021-03-16,2021-03-16
2021-03-15,2021,FRA protrated situations,3918420,"Denmark, Government of",Government,DNK,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,United Nations High Commissioner for Refugees,UN agency,,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,24400000,DKK,6.227,228954,,2021-03-16,2021-03-16
2021-03-15,2021,FRA Protrated situations,2216155,"Denmark, Government of",Government,DNK,2021,2021,Pakistan Humanitarian Response Plan 2021,HPAK21,1034,United Nations High Commissioner for Refugees,UN agency,,PAK,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,13800000,DKK,6.227,228955,,2021-03-16,2021-03-16
2021-03-15,2021,Innovative solutions,8832504,"Denmark, Government of",Government,DNK,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-15,2021-03-15,,55000000,DKK,6.227,228956,,2021-03-16,2021-03-16
2021-03-11,2021,COVID-19 response. Second wave,111691,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Red Cross,Red Cross/Red Crescent,Health,PSE,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-29,2021-03-11,,695500,DKK,6.227,229375,2017-12520,2021-03-30,2021-04-01
2021-03-10,2021,Response towards severe drought,123292,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Refugee Council,NGO,Emergency Shelter and NFI,KEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-16,2021-03-10,,749000,DKK,6.075,228988,2017-12467,2021-03-17,2021-03-17
2021-03-08,2021,Respons towards displacement,87185,"Denmark, Government of",Government,DNK,2021,2021,,,,OXFAM,NGO,Food Security,NER,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-16,2021-03-08,,529650,DKK,6.075,228987,2017-12486,2021-03-17,2021-03-17
2021-03-02,2021,Annual Programme 2021,378601,"Denmark, Government of",Government,DNK,2021,2021,Cameroon Humanitarian Response Plan 2021,HCMR21,1030,United Nations Population Fund,UN agency,,CMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-02,2021-03-02,,2300000,DKK,6.075,228375,,2021-03-03,2021-03-03
