date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-03-19,2021,To save lives and alleviate suffering,634441,"Ireland, Government of",Government,IRL,2021,2021,Somalia Humanitarian Response Plan 2021,HSOM21,1011,Trocaire,NGO,Health,SOM,"Provision of Emergency and essential health services for IDP and Host communities in Burdhubo and Luuq Districts, Gedo Region.",HSOM21-HEA-171200-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,531027,EUR,0.837,229170,Trocaire HPP 2021,2021-03-20,2021-03-22
2021-03-19,2021,To save lives and alleviate suffering,238949,"Ireland, Government of",Government,IRL,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,Trocaire,NGO,,ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,200000,EUR,0.837,229171,Trocaire HPP 2021,2021-03-20,2021-05-20
2021-03-15,,Food Assistance,1194743,"Ireland, Government of",Government,IRL,2021,2021,Syria Humanitarian Response Plan 2021,HSYR21,1044,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,SYR,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-25,2021-03-15,,1000000,EUR,0.837,231672,PQ21S15,2021-05-11,2021-05-11
2021-03-12,2021,To save lives and alleviate suffering (EBOLA),97919,"Ireland, Government of",Government,IRL,2021,2021,,,,Plan Ireland,NGO,,GIN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-12,2021-03-12,,80000,EUR,0.817,228872,Plan erf 2021,2021-03-13,2021-03-15
2021-03-12,2021,To save lives and alleviate suffering (EBOLA),97919,"Ireland, Government of",Government,IRL,2021,2021,,,,Plan Ireland,NGO,,SLE,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-12,2021-03-12,,80000,EUR,0.817,228873,Plan erf 2021,2021-03-13,2021-03-15
2021-03-10,,Iraq: WORLD FOOD PROGRAMME (response plan for Food Security ),597372,"Ireland, Government of",Government,IRL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,World Food Programme,UN agency,Food Security,IRQ,Iraq: WORLD FOOD PROGRAMME (response plan for Food Security ),RSYR21-FSC1-182231-1,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-23,2021-03-10,,,,,231233,10040481	No		IRE-C-00253-03	IQ02.01.011.URT1	IQ02,2021-07-12,2021-07-12
2021-03-05,2021,To save lives and alleviate suffering (Ebola),61617,"Ireland, Government of",Government,IRL,2021,2021,,,,GOAL,NGO,Coordination and support services,SLE,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-05,2021-03-05,,50341,EUR,0.817,228552,Goal erf 2021,2021-03-06,2021-03-08
2021-02-26,2021,To save lives and alleviate suffering,1668689,"Ireland, Government of",Government,IRL,2021,2021,,,,Start Network,NGO,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-02-26,2021-02-26,,1375000,EUR,0.824,228248,Start fund 2021,2021-02-27,2021-03-01
2021-02-23,2021,To save lives and alleviate suffering,182039,"Ireland, Government of",Government,IRL,2021,2021,Sudan Humanitarian Response Plan 2021,HSDN21,1014,Concern Worldwide,NGO,Food Security,SDN,"Emergency food security and livelihood assistance to IDPs, flood affected and vulnerable households in West Kordofan, South Kordofan, West Darfur, Kassala and Gedaref States",HSDN21-FSC-172891-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-02-23,2021-02-23,,150000,EUR,0.824,228182,Con erf,2021-02-24,2021-04-08
2021-02-23,2021,To save lives and alleviate suffering,182039,"Ireland, Government of",Government,IRL,2021,2021,Burundi Humanitarian Response Plan 2021,HBDI21,1039,Concern Worldwide,NGO,,BDI,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-02-23,2021-02-23,,150000,EUR,0.824,228183,Con erf 2021,2021-02-24,2021-04-08
2020-11-16,2021,To save lives and alleviate suffering,94007,"Ireland, Government of",Government,IRL,2021,2021,,,,GOAL,NGO,Protection,HND,,,Hurricanes Eta and Iota   - Nov 2020,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-02-10,2020-11-16,,80000,EUR,0.851,227738,Goal erf,2021-02-11,2021-02-11
